File Path,Line Number,Type,Label/Text
src/components/modals/FormModal.tsx,40,Native Button,[Icon/Unknown]
src/components/scan/FolderMonitorDialog.tsx,164,Native Button,[Icon/Unknown]
src/components/scan/FolderMonitorDialog.tsx,237,Native Button,[Icon/Unknown]
src/components/scan/FolderMonitorDialog.tsx,279,Native Button,[Icon/Unknown]
src/components/scan/FolderMonitorDialog.tsx,301,Native Button,[Icon/Unknown]
src/components/scan/FolderMonitorDialog.tsx,330,Native Button,[Icon/Unknown]
src/components/operations/BatchResultModal.tsx,157,Native Button,[Icon/Unknown]
src/components/operations/BatchResultModal.tsx,168,Native Button,[Icon/Unknown]
src/components/operations/BatchResultModal.tsx,181,Native Button,[Icon/Unknown]
src/components/operations/BatchOperationBar.tsx,92,Native Button,[Icon/Unknown]
src/components/operations/BatchOperationBar.tsx,104,Native Button,[Icon/Unknown]
src/components/operations/BatchOperationBar.tsx,124,Native Button,[Icon/Unknown]
src/components/operations/BatchOperationBar.tsx,147,Native Button,[Icon/Unknown]
src/components/operations/BatchApprovalDialog.tsx,183,Native Button,[Icon/Unknown]
src/components/operations/BatchApprovalDialog.tsx,191,Native Button,[Icon/Unknown]
src/components/operations/BatchApprovalDialog.tsx,294,Native Button,[Icon/Unknown]
src/components/common/FilterModal.tsx,48,Native Button,[Icon/Unknown]
src/components/common/FilterModal.tsx,60,Native Button,[Icon/Unknown]
src/components/common/FilterModal.tsx,66,Native Button,[Icon/Unknown]
src/components/common/FondsSwitcher.tsx,103,Native Button,[Icon/Unknown]
src/components/common/FondsSwitcher.tsx,137,Native Button,[Icon/Unknown]
src/components/common/RouteErrorBoundary.tsx,25,Native Button,[Icon/Unknown]
src/components/common/FondsSwitcher/FondsDropdown.tsx,28,Native Button,[Icon/Unknown]
src/components/common/FondsSwitcher/FondsDropdown.tsx,62,Native Button,[Icon/Unknown]
src/components/common/OfdViewer.tsx,240,Native Button,[Icon/Unknown]
src/components/common/OfdViewer.tsx,298,Native Button,[Icon/Unknown]
